Water body,Species,Year,Age,Length
Curonian Lagoon,Starkis,1961,5,46.8
Curonian Lagoon,Starkis,1961,6,52.65
Curonian Lagoon,Starkis,1961,6,54.99
Curonian Lagoon,Starkis,1961,6,56.16
Curonian Lagoon,Starkis,1961,7,54.99
Curonian Lagoon,Starkis,1961,7,57.33
Curonian Lagoon,Starkis,1961,8,63.18
Curonian Lagoon,Starkis,1961,8,64.35
Curonian Lagoon,Starkis,1960,2,25.74
Curonian Lagoon,Starkis,1960,2,28.08
Curonian Lagoon,Starkis,1960,2,26.91
Curonian Lagoon,Starkis,1960,2,26.91
Curonian Lagoon,Starkis,1960,2,25.74
Curonian Lagoon,Starkis,1960,2,23.4
Curonian Lagoon,Starkis,1960,2,26.91
Curonian Lagoon,Starkis,1960,4,37.44
Curonian Lagoon,Starkis,1960,5,44.46
Curonian Lagoon,Starkis,1960,5,45.63
Curonian Lagoon,Starkis,1960,5,45.63
Curonian Lagoon,Starkis,1960,5,44.46
Curonian Lagoon,Starkis,1960,5,44.46
Curonian Lagoon,Starkis,1960,5,43.29
Curonian Lagoon,Starkis,1960,6,45.63
Curonian Lagoon,Starkis,1960,6,49.14
Curonian Lagoon,Starkis,1960,6,47.97
Curonian Lagoon,Starkis,1960,6,49.14
Curonian Lagoon,Starkis,1960,6,51.48
Curonian Lagoon,Starkis,1960,7,56.16
Curonian Lagoon,Starkis,1960,7,56.16
Curonian Lagoon,Starkis,1960,8,57.33
Curonian Lagoon,Starkis,1959,4,37.44
Curonian Lagoon,Starkis,1959,4,37.44
Curonian Lagoon,Starkis,1959,4,38.61
Curonian Lagoon,Starkis,1959,5,45.63
Curonian Lagoon,Starkis,1959,6,44.46
Curonian Lagoon,Starkis,1959,6,47.97
Curonian Lagoon,Starkis,1959,6,47.97
Curonian Lagoon,Starkis,1959,6,49.14
Curonian Lagoon,Starkis,1959,6,49.14
Curonian Lagoon,Starkis,1959,6,49.14
Curonian Lagoon,Starkis,1959,6,49.14
Curonian Lagoon,Starkis,1959,6,46.8
Curonian Lagoon,Starkis,1959,6,44.46
Curonian Lagoon,Starkis,1959,6,46.8
Curonian Lagoon,Starkis,1959,6,47.97
Curonian Lagoon,Starkis,1959,6,51.48
Curonian Lagoon,Starkis,1959,6,49.14
Curonian Lagoon,Starkis,1959,7,49.14
Curonian Lagoon,Starkis,1959,7,50.31
Curonian Lagoon,Starkis,1959,7,51.48
Curonian Lagoon,Starkis,1959,7,52.65
Curonian Lagoon,Starkis,1959,7,49.14
Curonian Lagoon,Starkis,1959,7,50.31
Curonian Lagoon,Starkis,1959,7,53.82
Curonian Lagoon,Starkis,1958,4,43.29
Curonian Lagoon,Starkis,1958,4,42.12
Curonian Lagoon,Starkis,1958,5,43.29
Curonian Lagoon,Starkis,1958,5,43.29
Curonian Lagoon,Starkis,1958,5,44.46
Curonian Lagoon,Starkis,1958,5,43.29
Curonian Lagoon,Starkis,1958,5,43.29
Curonian Lagoon,Starkis,1958,5,45.63
Curonian Lagoon,Starkis,1958,6,51.48
Curonian Lagoon,Starkis,1958,6,46.8
Curonian Lagoon,Starkis,1958,6,47.97
Curonian Lagoon,Starkis,1958,7,63.18
Curonian Lagoon,Starkis,1957,3,34.515
Curonian Lagoon,Starkis,1957,4,38.025
Curonian Lagoon,Starkis,1957,4,40.95
Curonian Lagoon,Starkis,1957,4,37.44
Curonian Lagoon,Starkis,1957,4,35.1
Curonian Lagoon,Starkis,1957,4,42.12
Curonian Lagoon,Starkis,1957,4,40.95
Curonian Lagoon,Starkis,1957,4,42.12
Curonian Lagoon,Starkis,1957,4,40.95
Curonian Lagoon,Starkis,1957,4,38.61
Curonian Lagoon,Starkis,1957,4,39.195
Curonian Lagoon,Starkis,1957,4,39.78
Curonian Lagoon,Starkis,1957,4,39.78
Curonian Lagoon,Starkis,1957,4,42.12
Curonian Lagoon,Starkis,1957,4,38.025
Curonian Lagoon,Starkis,1957,4,38.61
Curonian Lagoon,Starkis,1957,4,35.1
Curonian Lagoon,Starkis,1957,4,40.95
Curonian Lagoon,Starkis,1957,4,38.61
Curonian Lagoon,Starkis,1957,4,39.78
Curonian Lagoon,Starkis,1957,4,37.44
Curonian Lagoon,Starkis,1957,4,42.12
Curonian Lagoon,Starkis,1957,4,42.12
Curonian Lagoon,Starkis,1957,4,42.12
Curonian Lagoon,Starkis,1957,4,40.95
Curonian Lagoon,Starkis,1957,4,39.78
Curonian Lagoon,Starkis,1957,4,39.78
Curonian Lagoon,Starkis,1957,4,36.27
Curonian Lagoon,Starkis,1957,4,36.27
Curonian Lagoon,Starkis,1957,5,45.63
Curonian Lagoon,Starkis,1957,5,44.46
Curonian Lagoon,Starkis,1957,5,42.12
Curonian Lagoon,Starkis,1957,5,43.29
Curonian Lagoon,Starkis,1957,5,44.46
Curonian Lagoon,Starkis,1957,5,43.29
Curonian Lagoon,Starkis,1957,5,44.46
Curonian Lagoon,Starkis,1957,5,43.29
Curonian Lagoon,Starkis,1957,5,46.8
Curonian Lagoon,Starkis,1957,5,43.29
Curonian Lagoon,Starkis,1957,5,43.29
Curonian Lagoon,Starkis,1957,6,54.99
Curonian Lagoon,Starkis,1957,6,52.65
Curonian Lagoon,Starkis,1957,6,56.16
Curonian Lagoon,Starkis,1957,6,46.8
Curonian Lagoon,Starkis,1957,7,58.5
Curonian Lagoon,Starkis,1954,1,14.625
Curonian Lagoon,Starkis,1954,2,22.23
Curonian Lagoon,Starkis,1954,2,21.645
Curonian Lagoon,Starkis,1954,2,21.06
Curonian Lagoon,Starkis,1954,3,36.27
Curonian Lagoon,Starkis,1954,3,33.345
Curonian Lagoon,Starkis,1954,3,33.345
Curonian Lagoon,Starkis,1954,3,32.175
Curonian Lagoon,Starkis,1954,3,36.27
Curonian Lagoon,Starkis,1954,3,32.76
Curonian Lagoon,Starkis,1954,3,32.175
Curonian Lagoon,Starkis,1954,3,33.93
Curonian Lagoon,Starkis,1954,4,44.46
Curonian Lagoon,Starkis,1954,5,44.46
Curonian Lagoon,Starkis,1954,5,44.46
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,6,50.31
Curonian Lagoon,Starkis,1954,6,52.65
Curonian Lagoon,Starkis,1954,6,49.725
Curonian Lagoon,Starkis,1954,7,60.84
Curonian Lagoon,Starkis,1954,2,30.42
Curonian Lagoon,Starkis,1954,2,28.08
Curonian Lagoon,Starkis,1954,3,35.1
Curonian Lagoon,Starkis,1954,5,49.14
Curonian Lagoon,Starkis,1954,6,54.99
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,6,50.31
Curonian Lagoon,Starkis,1954,3,31.59
Curonian Lagoon,Starkis,1954,6,49.14
Curonian Lagoon,Starkis,1954,6,54.99
Curonian Lagoon,Starkis,1954,2,29.25
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,2,28.08
Curonian Lagoon,Starkis,1954,2,24.57
Curonian Lagoon,Starkis,1954,3,25.74
Curonian Lagoon,Starkis,1954,3,33.93
Curonian Lagoon,Starkis,1954,3,33.93
Curonian Lagoon,Starkis,1954,3,32.76
Curonian Lagoon,Starkis,1954,3,32.76
Curonian Lagoon,Starkis,1954,3,32.76
Curonian Lagoon,Starkis,1954,3,35.1
Curonian Lagoon,Starkis,1954,3,33.93
Curonian Lagoon,Starkis,1954,3,31.59
Curonian Lagoon,Starkis,1954,3,36.855
Curonian Lagoon,Starkis,1954,3,35.1
Curonian Lagoon,Starkis,1954,3,35.1
Curonian Lagoon,Starkis,1954,3,35.685
Curonian Lagoon,Starkis,1954,3,33.93
Curonian Lagoon,Starkis,1954,3,36.27
Curonian Lagoon,Starkis,1954,4,39.78
Curonian Lagoon,Starkis,1954,5,49.14
Curonian Lagoon,Starkis,1954,6,50.31
Curonian Lagoon,Starkis,1954,9,73.71
Curonian Lagoon,Starkis,1954,4,40.365
Curonian Lagoon,Starkis,1954,5,45.63
Curonian Lagoon,Starkis,1954,5,43.29
Curonian Lagoon,Starkis,1954,5,46.8
Curonian Lagoon,Starkis,1954,5,46.8
Curonian Lagoon,Starkis,1954,5,45.045
Curonian Lagoon,Starkis,1954,6,53.82
Curonian Lagoon,Starkis,1954,6,50.31
Curonian Lagoon,Starkis,1954,6,49.725
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,6,53.82
Curonian Lagoon,Starkis,1954,6,49.725
Curonian Lagoon,Starkis,1954,6,50.31
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,6,50.31
Curonian Lagoon,Starkis,1954,6,53.235
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,6,49.14
Curonian Lagoon,Starkis,1954,6,52.65
Curonian Lagoon,Starkis,1954,6,51.48
Curonian Lagoon,Starkis,1954,7,57.33
Curonian Lagoon,Starkis,1954,7,56.16
Curonian Lagoon,Starkis,1954,8,60.84
Curonian Lagoon,Starkis,1954,8,58.5
Curonian Lagoon,Starkis,1954,9,67.86
Curonian Lagoon,Starkis,1955,1,26.91
Curonian Lagoon,Starkis,1955,2,28.08
Curonian Lagoon,Starkis,1955,2,33.93
Curonian Lagoon,Starkis,1955,2,35.1
Curonian Lagoon,Starkis,1955,2,29.25
Curonian Lagoon,Starkis,1955,3,42.12
Curonian Lagoon,Starkis,1955,3,37.44
Curonian Lagoon,Starkis,1955,3,42.12
Curonian Lagoon,Starkis,1955,3,37.44
Curonian Lagoon,Starkis,1955,3,40.95
Curonian Lagoon,Starkis,1955,3,42.12
Curonian Lagoon,Starkis,1955,4,44.46
Curonian Lagoon,Starkis,1955,5,49.14
Curonian Lagoon,Starkis,1955,5,50.31
Curonian Lagoon,Starkis,1955,6,52.65
Curonian Lagoon,Starkis,1955,6,53.82
Curonian Lagoon,Starkis,1955,7,56.16
Curonian Lagoon,Starkis,1955,7,60.84
Curonian Lagoon,Starkis,1955,8,74.88
Curonian Lagoon,Starkis,1955,8,73.71
Curonian Lagoon,Starkis,1955,4,42.12
Curonian Lagoon,Starkis,1955,4,42.12
Curonian Lagoon,Starkis,1955,4,38.025
Curonian Lagoon,Starkis,1955,4,40.95
Curonian Lagoon,Starkis,1955,4,40.95
Curonian Lagoon,Starkis,1955,5,46.8
Curonian Lagoon,Starkis,1955,5,45.63
Curonian Lagoon,Starkis,1955,5,45.045
Curonian Lagoon,Starkis,1955,5,40.95
Curonian Lagoon,Starkis,1955,5,40.95
Curonian Lagoon,Starkis,1955,7,60.84
Curonian Lagoon,Starkis,1955,7,60.84
Curonian Lagoon,Starkis,1949,2,31.941
Curonian Lagoon,Starkis,1949,2,29.484
Curonian Lagoon,Starkis,1949,2,29.484
Curonian Lagoon,Starkis,1949,2,30.42
Curonian Lagoon,Starkis,1949,2,25.857
Curonian Lagoon,Starkis,1949,2,26.442
Curonian Lagoon,Starkis,1949,2,29.367
Curonian Lagoon,Starkis,1949,2,29.25
Curonian Lagoon,Starkis,1949,2,26.325
Curonian Lagoon,Starkis,1949,2,25.506
Curonian Lagoon,Starkis,1949,2,25.272
Curonian Lagoon,Starkis,1949,2,31.59
Curonian Lagoon,Starkis,1949,2,23.4
Curonian Lagoon,Starkis,1949,2,22.23
Curonian Lagoon,Starkis,1949,2,23.985
Curonian Lagoon,Starkis,1949,2,27.495
Curonian Lagoon,Starkis,1949,2,24.57
Curonian Lagoon,Starkis,1949,2,28.665
Curonian Lagoon,Starkis,1949,2,25.74
Curonian Lagoon,Starkis,1949,2,22.23
Curonian Lagoon,Starkis,1949,2,23.4
Curonian Lagoon,Starkis,1949,2,22.815
Curonian Lagoon,Starkis,1949,2,24.57
Curonian Lagoon,Starkis,1949,2,28.08
Curonian Lagoon,Starkis,1949,2,22.815
Curonian Lagoon,Starkis,1949,2,26.91
Curonian Lagoon,Starkis,1949,2,27.261
Curonian Lagoon,Starkis,1949,2,22.581
Curonian Lagoon,Starkis,1949,2,18.135
Curonian Lagoon,Starkis,1950,1,18.135
Curonian Lagoon,Starkis,1950,1,18.72
Curonian Lagoon,Starkis,1950,1,19.305
Curonian Lagoon,Starkis,1950,2,29.25
Curonian Lagoon,Starkis,1950,2,29.835
Curonian Lagoon,Starkis,1950,2,24.57
Curonian Lagoon,Starkis,1950,2,29.835
Curonian Lagoon,Starkis,1950,2,26.91
Curonian Lagoon,Starkis,1949,3,38.961
Curonian Lagoon,Starkis,1949,3,41.535
Curonian Lagoon,Starkis,1949,3,33.93
Curonian Lagoon,Starkis,1949,3,34.515
Curonian Lagoon,Starkis,1949,3,43.29
Curonian Lagoon,Starkis,1949,3,44.46
Curonian Lagoon,Starkis,1949,3,42.705
Curonian Lagoon,Starkis,1949,3,42.471
Curonian Lagoon,Starkis,1949,3,39.78
Curonian Lagoon,Starkis,1949,3,34.515
Curonian Lagoon,Starkis,1949,3,36.27
Curonian Lagoon,Starkis,1949,3,37.44
Curonian Lagoon,Starkis,1949,3,33.93
Curonian Lagoon,Starkis,1949,3,37.44
Curonian Lagoon,Starkis,1949,3,35.685
Curonian Lagoon,Starkis,1949,3,39.195
Curonian Lagoon,Starkis,1949,3,33.345
Curonian Lagoon,Starkis,1949,3,31.005
Curonian Lagoon,Starkis,1949,3,34.515
Curonian Lagoon,Starkis,1949,3,41.535
Curonian Lagoon,Starkis,1949,3,39.78
Curonian Lagoon,Starkis,1949,3,42.12
Curonian Lagoon,Starkis,1949,3,42.12
Curonian Lagoon,Starkis,1949,3,37.44
Curonian Lagoon,Starkis,1949,3,41.535
Curonian Lagoon,Starkis,1949,3,35.1
Curonian Lagoon,Starkis,1949,3,42.12
Curonian Lagoon,Starkis,1949,3,36.27
Curonian Lagoon,Starkis,1949,3,44.46
Curonian Lagoon,Starkis,1949,3,43.875
Curonian Lagoon,Starkis,1949,3,38.61
Curonian Lagoon,Starkis,1949,3,37.44
Curonian Lagoon,Starkis,1949,3,40.95
Curonian Lagoon,Starkis,1949,3,38.61
Curonian Lagoon,Starkis,1949,3,39.78
Curonian Lagoon,Starkis,1949,3,42.12
Curonian Lagoon,Starkis,1950,3,37.44
Curonian Lagoon,Starkis,1950,3,39.78
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,38.61
Curonian Lagoon,Starkis,1950,3,38.61
Curonian Lagoon,Starkis,1950,3,31.005
Curonian Lagoon,Starkis,1950,3,32.76
Curonian Lagoon,Starkis,1950,3,30.42
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,34.515
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,36.27
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,39.78
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,36.27
Curonian Lagoon,Starkis,1950,3,43.29
Curonian Lagoon,Starkis,1950,3,32.76
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,39.78
Curonian Lagoon,Starkis,1950,3,33.93
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,40.95
Curonian Lagoon,Starkis,1950,3,40.95
Curonian Lagoon,Starkis,1950,3,42.12
Curonian Lagoon,Starkis,1950,3,38.61
Curonian Lagoon,Starkis,1950,3,36.27
Curonian Lagoon,Starkis,1950,3,33.345
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,31.59
Curonian Lagoon,Starkis,1950,3,38.61
Curonian Lagoon,Starkis,1950,3,36.27
Curonian Lagoon,Starkis,1950,3,40.95
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,33.345
Curonian Lagoon,Starkis,1950,3,32.175
Curonian Lagoon,Starkis,1950,3,27.495
Curonian Lagoon,Starkis,1950,3,33.345
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,35.1
Curonian Lagoon,Starkis,1950,3,36.27
Curonian Lagoon,Starkis,1950,3,39.78
Curonian Lagoon,Starkis,1950,3,42.12
Curonian Lagoon,Starkis,1950,3,32.76
Curonian Lagoon,Starkis,1950,3,33.345
Curonian Lagoon,Starkis,1950,3,36.27
Curonian Lagoon,Starkis,1949,4,50.31
Curonian Lagoon,Starkis,1949,4,49.14
Curonian Lagoon,Starkis,1949,4,51.48
Curonian Lagoon,Starkis,1949,4,47.97
Curonian Lagoon,Starkis,1949,4,52.65
Curonian Lagoon,Starkis,1949,4,50.895
Curonian Lagoon,Starkis,1949,4,52.065
Curonian Lagoon,Starkis,1949,4,40.365
Curonian Lagoon,Starkis,1949,4,47.97
Curonian Lagoon,Starkis,1949,4,47.97
Curonian Lagoon,Starkis,1949,4,48.204
Curonian Lagoon,Starkis,1949,4,47.97
Curonian Lagoon,Starkis,1949,4,46.215
Curonian Lagoon,Starkis,1949,4,48.555
Curonian Lagoon,Starkis,1949,4,50.193
Curonian Lagoon,Starkis,1949,4,49.257
Curonian Lagoon,Starkis,1949,4,49.842
Curonian Lagoon,Starkis,1949,4,53.235
Curonian Lagoon,Starkis,1949,4,47.385
Curonian Lagoon,Starkis,1949,4,47.034
Curonian Lagoon,Starkis,1949,4,52.65
Curonian Lagoon,Starkis,1949,4,53.235
Curonian Lagoon,Starkis,1949,4,55.575
Curonian Lagoon,Starkis,1949,4,47.385
Curonian Lagoon,Starkis,1949,4,39.78
Curonian Lagoon,Starkis,1949,4,51.831
Curonian Lagoon,Starkis,1949,4,52.65
Curonian Lagoon,Starkis,1949,4,54.405
Curonian Lagoon,Starkis,1949,4,52.065
Curonian Lagoon,Starkis,1949,4,52.65
Curonian Lagoon,Starkis,1949,4,52.065
Curonian Lagoon,Starkis,1949,4,50.31
Curonian Lagoon,Starkis,1949,4,50.895
Curonian Lagoon,Starkis,1949,4,54.405
Curonian Lagoon,Starkis,1949,4,48.555
Curonian Lagoon,Starkis,1949,4,47.97
Curonian Lagoon,Starkis,1949,4,49.14
Curonian Lagoon,Starkis,1949,4,51.48
Curonian Lagoon,Starkis,1949,4,47.97
Curonian Lagoon,Starkis,1949,4,49.14
Curonian Lagoon,Starkis,1949,4,54.99
Curonian Lagoon,Starkis,1949,4,54.99
Curonian Lagoon,Starkis,1949,4,52.65
Curonian Lagoon,Starkis,1949,4,49.14
Curonian Lagoon,Starkis,1950,4,51.48
Curonian Lagoon,Starkis,1950,4,45.63
Curonian Lagoon,Starkis,1950,4,46.8
Curonian Lagoon,Starkis,1950,4,52.65
Curonian Lagoon,Starkis,1950,4,44.46
Curonian Lagoon,Starkis,1950,4,44.46
Curonian Lagoon,Starkis,1950,4,40.95
Curonian Lagoon,Starkis,1950,4,42.12
Curonian Lagoon,Starkis,1950,4,43.29
Curonian Lagoon,Starkis,1950,4,43.29
Curonian Lagoon,Starkis,1950,4,42.12
Curonian Lagoon,Starkis,1950,4,45.63
Curonian Lagoon,Starkis,1950,4,49.14
Curonian Lagoon,Starkis,1950,4,51.48
Curonian Lagoon,Starkis,1950,4,44.46
Curonian Lagoon,Starkis,1950,4,45.63
Curonian Lagoon,Starkis,1950,4,44.46
Curonian Lagoon,Starkis,1950,4,43.29
Curonian Lagoon,Starkis,1950,4,44.46
Curonian Lagoon,Starkis,1950,4,44.46
Curonian Lagoon,Starkis,1950,4,45.63
Curonian Lagoon,Starkis,1950,4,43.875
Curonian Lagoon,Starkis,1950,4,45.045
Curonian Lagoon,Starkis,1950,4,49.725
Curonian Lagoon,Starkis,1950,4,45.63
Curonian Lagoon,Starkis,1949,5,60.84
Curonian Lagoon,Starkis,1949,5,56.16
Curonian Lagoon,Starkis,1949,5,59.67
Curonian Lagoon,Starkis,1949,5,54.99
Curonian Lagoon,Starkis,1949,5,57.33
Curonian Lagoon,Starkis,1949,5,56.745
Curonian Lagoon,Starkis,1949,5,57.33
Curonian Lagoon,Starkis,1949,5,58.5
Curonian Lagoon,Starkis,1949,5,54.99
Curonian Lagoon,Starkis,1949,5,60.84
Curonian Lagoon,Starkis,1949,5,54.99
Curonian Lagoon,Starkis,1949,5,59.085
Curonian Lagoon,Starkis,1949,5,55.575
Curonian Lagoon,Starkis,1949,5,59.67
Curonian Lagoon,Starkis,1949,5,56.745
Curonian Lagoon,Starkis,1949,5,60.84
Curonian Lagoon,Starkis,1949,5,58.5
Curonian Lagoon,Starkis,1949,5,62.01
Curonian Lagoon,Starkis,1949,5,58.5
Curonian Lagoon,Starkis,1949,5,59.67
Curonian Lagoon,Starkis,1949,5,54.99
Curonian Lagoon,Starkis,1949,5,56.16
Curonian Lagoon,Starkis,1950,5,51.48
Curonian Lagoon,Starkis,1950,5,63.18
Curonian Lagoon,Starkis,1950,5,57.33
Curonian Lagoon,Starkis,1950,5,56.16
Curonian Lagoon,Starkis,1950,5,60.84
Curonian Lagoon,Starkis,1950,5,58.5
Curonian Lagoon,Starkis,1950,5,54.99
Curonian Lagoon,Starkis,1949,6,66.69
Curonian Lagoon,Starkis,1949,6,60.84
Curonian Lagoon,Starkis,1949,6,66.69
Curonian Lagoon,Starkis,1949,6,69.03
Curonian Lagoon,Starkis,1949,6,72.54
Curonian Lagoon,Starkis,1949,6,72.54
Curonian Lagoon,Starkis,1949,6,70.2
Curonian Lagoon,Starkis,1949,6,70.2
Curonian Lagoon,Starkis,1950,6,64.35
Curonian Lagoon,Starkis,1949,7,74.88
Curonian Lagoon,Starkis,1949,7,72.54
Curonian Lagoon,Starkis,1949,7,72.54
Curonian Lagoon,Starkis,1949,8,80.145
